Or_ID,C_ID,P_ID,Order_Date,Order_Time,Qty,Coupon_Discount,DP_ID,CName,gender,Age,City,State,created_date,PName,Category,Brand,Price,Revenue,Discount_Amount,Final_Revenue,Month,Day,Age_Group
OR_31008286,CS_11007076,PD_21007671,2024-09-19,07:35:59,2,10,DV_61000232,Devansh Bhatia,Female,62,Ahmedabad,Gujarat,2024-03-28,Beatae Soap,Beverages,Haldirams,353.21,706.42,70.642,635.778,September,Thursday,Senior
OR_31008287,CS_11004747,PD_21001818,2024-05-11,13:00:45,3,10,DV_61000180,Warjas Arora,Female,70,Jabalpur,Madhya Pradesh,2023-05-11,Maxime Soap,Home Care,Haldirams,618.81,1856.43,185.643,1670.787,May,Saturday,Senior
OR_31008288,CS_11007320,PD_21007421,2025-03-06,07:50:51,7,10,DV_61000218,Damini Goda,Female,18,Bhubaneswar,Odisha,2023-05-08,Architecto Biscuits,Beverages,Amul,720.95,5046.650000000001,504.6650000000001,4541.985000000001,March,Thursday,Teen
OR_31008289,CS_11009645,PD_21003833,2024-06-05,18:10:22,5,20,DV_61000150,Gabriel Seshadri,Female,40,Bangalore,Karnataka,2024-05-26,Cum Milk,Dairy,Dabur,606.19,3030.95,606.19,2424.76,June,Wednesday,Middle
OR_31008290,CS_11006542,PD_21001684,2024-12-10,05:48:40,5,0,DV_61000167,Aarnav Tripathi,Male,48,Lucknow,Uttar Pradesh,2024-02-07,Eveniet Juice,Home Care,Parle,912.77,4563.85,0.0,4563.85,December,Tuesday,Middle
OR_31008291,CS_11003254,PD_21009149,2024-06-10,15:41:06,3,10,DV_61000035,Dhruv Datta,Male,65,Varanasi,Uttar Pradesh,2024-09-26,Suscipit Soap,Personal Care,Nestle,560.38,1681.14,168.114,1513.026,June,Monday,Senior
OR_31008292,CS_11007968,PD_21003282,2024-11-03,17:33:21,8,20,DV_61000039,Eta Chawla,Female,26,Kochi,Kerala,2024-02-21,Facilis Soap,Personal Care,Haldirams,709.62,5676.96,1135.392,4541.568,November,Sunday,Adult
OR_31008293,CS_11004206,PD_21005575,2024-05-03,09:04:46,9,15,DV_61000150,Mahika Verma,Male,32,Nizamabad,Telangana,2023-12-08,Distinctio Soap,Groceries,Haldirams,806.68,7260.12,1089.018,6171.102,May,Friday,Adult
OR_31008294,CS_11004616,PD_21006049,2025-02-24,15:11:05,1,20,DV_61000231,Zilmil Sodhi,Male,22,Chennai,Tamil Nadu,2024-12-11,Perspiciatis Juice,Personal Care,Britannia,996.53,996.53,199.306,797.2239999999999,February,Monday,Young
OR_31008295,CS_11008596,PD_21003582,2024-10-10,04:05:53,3,0,DV_61000051,Balvan Pant,Male,26,Jabalpur,Madhya Pradesh,2023-05-06,Quod Shampoo,Groceries,Haldirams,540.59,1621.77,0.0,1621.77,October,Thursday,Adult
OR_31008296,CS_11007613,PD_21002991,2024-07-13,19:27:31,10,10,DV_61000234,Damini Mall,Female,62,Bangalore,Karnataka,2024-12-08,Earum Shampoo,Beverages,Amul,922.73,9227.3,922.73,8304.57,July,Saturday,Senior
OR_31008297,CS_11005960,PD_21000877,2024-11-09,10:41:01,1,10,DV_61000018,Meghana Dhawan,Female,57,Bhagalpur,Bihar,2025-01-29,Quibusdam Biscuits,Groceries,Dabur,527.65,527.65,52.765,474.885,November,Saturday,Senior
OR_31008298,CS_11000332,PD_21001146,2024-03-12,05:16:02,5,20,DV_61000209,Wahab Hans,Female,37,Guntur,Andhra Pradesh,2024-11-27,Unde Shampoo,Home Care,Haldirams,736.57,3682.85,736.57,2946.28,March,Tuesday,Middle
OR_31008299,CS_11004211,PD_21009364,2025-03-04,08:21:16,2,15,DV_61000221,Michael Borde,Male,27,Jamshedpur,Jharkhand,2023-09-03,Adipisci Milk,Groceries,Britannia,794.7,1589.4,238.41,1350.99,March,Tuesday,Adult
OR_31008300,CS_11009639,PD_21008470,2024-06-24,10:17:27,3,0,DV_61000174,Garima Kadakia,Male,70,Pune,Maharashtra,2024-04-03,Dolorem Biscuits,Beverages,Parle,913.38,2740.14,0.0,2740.14,June,Monday,Senior
OR_31008301,CS_11005860,PD_21007102,2025-01-28,03:59:08,2,0,DV_61000099,Wahab Saini,Male,48,Bokaro,Jharkhand,2024-12-12,Repudiandae Biscuits,Groceries,Britannia,363.22,726.44,0.0,726.44,January,Tuesday,Middle
OR_31008302,CS_11002282,PD_21005518,2024-12-25,16:07:03,3,15,DV_61000099,Ayushman Sama,Female,46,Mysore,Karnataka,2023-11-15,Blanditiis Milk,Groceries,Britannia,681.18,2043.54,306.531,1737.009,December,Wednesday,Middle
OR_31008303,CS_11000505,PD_21006086,2025-01-31,09:17:37,10,0,DV_61000026,Fitan Aurora,Male,58,Khammam,Telangana,2024-04-30,Aliquam Biscuits,Home Care,Dabur,305.64,3056.4,0.0,3056.4,January,Friday,Senior
OR_31008304,CS_11000986,PD_21000279,2024-06-17,06:11:29,2,15,DV_61000290,Christopher Tiwari,Male,63,Indore,Madhya Pradesh,2024-05-28,Quaerat Shampoo,Beverages,Parle,303.63,607.26,91.089,516.171,June,Monday,Senior
OR_31008305,CS_11002664,PD_21005618,2024-09-03,22:04:28,6,0,DV_61000228,Yatan Shenoy,Female,36,Belgaum,Karnataka,2023-08-08,Laudantium Biscuits,Home Care,Haldirams,112.28,673.6800000000001,0.0,673.6800000000001,September,Tuesday,Middle
OR_31008306,CS_11009374,PD_21003253,2024-06-11,22:56:29,10,10,DV_61000115,Hemangini Sarraf,Female,69,Jamshedpur,Jharkhand,2025-02-25,Fugiat Biscuits,Dairy,Nestle,604.83,6048.3,604.83,5443.47,June,Tuesday,Senior
OR_31008307,CS_11006438,PD_21001249,2024-06-30,06:03:59,6,20,DV_61000075,Madhav Kurian,Male,68,Varanasi,Uttar Pradesh,2023-10-29,Unde Soap,Snacks,Amul,741.49,4448.940000000001,889.7880000000001,3559.152,June,Sunday,Senior
OR_31008308,CS_11005760,PD_21001903,2024-12-01,00:19:52,9,10,DV_61000143,Karan Parekh,Male,66,Hubli,Karnataka,2024-09-04,Explicabo Juice,Snacks,Nestle,180.02,1620.18,162.018,1458.162,December,Sunday,Senior
OR_31008309,CS_11006359,PD_21007010,2025-01-17,21:10:08,7,20,DV_61000214,Harsh Halder,Male,43,Bathinda,Punjab,2024-11-15,Velit Biscuits,Snacks,Amul,283.97,1987.79,397.558,1590.232,January,Friday,Middle
OR_31008310,CS_11003643,PD_21008140,2024-07-03,02:30:13,5,15,DV_61000156,Tripti Dugar,Male,29,Kolkata,West Bengal,2023-12-10,Soluta Shampoo,Personal Care,Nestle,979.46,4897.3,734.595,4162.705,July,Wednesday,Adult
OR_31008311,CS_11008777,PD_21009447,2024-12-04,06:37:33,9,15,DV_61000022,Charita Goel,Female,38,Nellore,Andhra Pradesh,2024-09-07,Nobis Soap,Personal Care,Britannia,22.72,204.48,30.672,173.808,December,Wednesday,Middle
OR_31008312,CS_11002091,PD_21003292,2024-08-25,02:36:37,3,0,DV_61000041,Sara Karan,Male,41,Cuttack,Odisha,2023-12-11,Est Biscuits,Beverages,Dabur,764.43,2293.29,0.0,2293.29,August,Sunday,Middle
OR_31008313,CS_11005212,PD_21003129,2024-10-04,20:42:28,7,0,DV_61000176,Aarav Saini,Male,34,Bokaro,Jharkhand,2024-06-16,Voluptatibus Milk,Beverages,Dabur,714.24,4999.68,0.0,4999.68,October,Friday,Adult
OR_31008314,CS_11006027,PD_21001669,2024-03-17,02:05:25,3,0,DV_61000123,Pavani Mukherjee,Female,62,Chennai,Tamil Nadu,2024-02-21,Velit Juice,Dairy,Nestle,590.54,1771.62,0.0,1771.62,March,Sunday,Senior
OR_31008315,CS_11009994,PD_21004010,2024-03-15,02:39:05,4,20,DV_61000181,Waida Brahmbhatt,Male,52,Cuttack,Odisha,2024-07-05,Repellat Milk,Dairy,Parle,231.22,924.88,184.976,739.904,March,Friday,Senior
OR_31008316,CS_11009413,PD_21002925,2024-05-30,19:07:29,1,0,DV_61000052,Om Pandit,Female,59,Aurangabad,Maharashtra,2023-12-29,Officia Shampoo,Dairy,Amul,161.65,161.65,0.0,161.65,May,Thursday,Senior
OR_31008317,CS_11003955,PD_21006575,2024-05-07,19:30:23,7,20,DV_61000055,Girik Nagar,Male,25,Nellore,Andhra Pradesh,2023-06-25,Nihil Milk,Groceries,Britannia,856.54,5995.78,1199.156,4796.624,May,Tuesday,Young
OR_31008318,CS_11007540,PD_21002848,2024-07-24,19:59:25,1,0,DV_61000140,Ojasvi Guha,Female,47,Bilaspur,Chhattisgarh,2024-12-10,Aliquam Biscuits,Groceries,Amul,975.36,975.36,0.0,975.36,July,Wednesday,Middle
OR_31008319,CS_11001063,PD_21009615,2024-08-07,13:56:06,4,20,DV_61000182,Lopa Mangal,Female,29,Jaipur,Rajasthan,2025-01-04,Facere Soap,Personal Care,Britannia,702.6,2810.4,562.08,2248.32,August,Wednesday,Adult
OR_31008320,CS_11007836,PD_21005840,2024-04-07,11:35:05,3,15,DV_61000057,Hardik Bhatnagar,Female,29,Bhilai,Chhattisgarh,2023-11-10,Perspiciatis Soap,Beverages,Britannia,733.29,2199.87,329.9804999999999,1869.8895,April,Sunday,Adult
OR_31008321,CS_11007509,PD_21008465,2024-10-06,07:02:21,9,20,DV_61000217,Bina Bhatia,Male,61,Sambalpur,Odisha,2024-07-19,Dolore Biscuits,Beverages,Haldirams,497.24,4475.16,895.0319999999999,3580.128,October,Sunday,Senior
OR_31008322,CS_11003959,PD_21001632,2024-12-14,03:39:09,8,20,DV_61000180,Aryan Suri,Female,25,Salem,Tamil Nadu,2024-11-09,Ex Juice,Dairy,Britannia,687.95,5503.6,1100.72,4402.88,December,Saturday,Young
OR_31008323,CS_11003305,PD_21006600,2024-11-28,09:34:20,5,10,DV_61000285,Krishna Dhar,Male,49,Chennai,Tamil Nadu,2024-12-15,Assumenda Soap,Snacks,Parle,317.53,1587.65,158.765,1428.885,November,Thursday,Middle
OR_31008324,CS_11009516,PD_21007038,2025-02-11,13:40:43,8,20,DV_61000144,Yashasvi Gandhi,Female,21,Bhilai,Chhattisgarh,2024-05-03,A Shampoo,Groceries,Parle,186.62,1492.96,298.592,1194.368,February,Tuesday,Young
OR_31008325,CS_11005644,PD_21009871,2024-07-24,19:45:54,3,10,DV_61000262,Qushi Natarajan,Female,47,Kozhikode,Kerala,2023-11-10,Unde Biscuits,Snacks,Britannia,283.87,851.61,85.161,766.4490000000001,July,Wednesday,Middle
OR_31008326,CS_11006980,PD_21008250,2024-10-29,19:19:54,10,20,DV_61000188,Leena Vasa,Female,28,Bilaspur,Chhattisgarh,2024-03-20,Modi Biscuits,Personal Care,Parle,500.54,5005.400000000001,1001.08,4004.320000000001,October,Tuesday,Adult
OR_31008327,CS_11007583,PD_21009846,2024-11-24,19:56:27,6,20,DV_61000093,Balveer Grover,Female,52,Vijayawada,Andhra Pradesh,2023-10-06,Animi Juice,Personal Care,Britannia,313.81,1882.86,376.5720000000001,1506.288,November,Sunday,Senior
OR_31008328,CS_11008422,PD_21008645,2025-02-08,04:18:20,8,0,DV_61000023,Chaman Trivedi,Female,18,Thrissur,Kerala,2023-08-14,Harum Juice,Dairy,Amul,795.36,6362.88,0.0,6362.88,February,Saturday,Teen
OR_31008329,CS_11002073,PD_21000057,2024-11-29,18:21:36,5,0,DV_61000296,Priya Deol,Male,60,Tezpur,Assam,2024-01-05,Ipsam Biscuits,Groceries,Amul,286.67,1433.35,0.0,1433.35,November,Friday,Senior
OR_31008330,CS_11002215,PD_21000461,2024-12-01,12:12:44,10,15,DV_61000146,Bhavini Zacharia,Female,23,Howrah,West Bengal,2023-08-26,Officiis Milk,Snacks,Parle,818.05,8180.5,1227.075,6953.425,December,Sunday,Young
OR_31008331,CS_11004153,PD_21003859,2024-11-27,03:27:31,4,0,DV_61000007,Manya Divan,Female,50,Panipat,Haryana,2023-10-23,Alias Soap,Personal Care,Britannia,103.13,412.52,0.0,412.52,November,Wednesday,Middle
OR_31008332,CS_11007739,PD_21007989,2024-08-09,02:02:36,8,20,DV_61000210,Abeer Kumer,Male,65,Hyderabad,Telangana,2023-07-24,Aut Soap,Groceries,Parle,797.38,6379.04,1275.808,5103.232,August,Friday,Senior
OR_31008333,CS_11004493,PD_21008156,2024-09-24,14:27:05,8,15,DV_61000198,Fiyaz Thakkar,Female,55,Howrah,West Bengal,2024-09-19,Laborum Biscuits,Dairy,Britannia,111.25,890.0,133.5,756.5,September,Tuesday,Senior
OR_31008334,CS_11009414,PD_21000212,2024-08-27,22:30:27,2,20,DV_61000216,Onveer Gade,Male,40,Guntur,Andhra Pradesh,2024-06-29,Laboriosam Soap,Snacks,Dabur,597.38,1194.76,238.952,955.808,August,Tuesday,Middle
OR_31008335,CS_11006775,PD_21002075,2025-01-03,23:18:18,6,15,DV_61000257,Ojasvi Wadhwa,Male,42,Ambala,Haryana,2024-05-09,Voluptatum Soap,Home Care,Dabur,783.12,4698.72,704.808,3993.912,January,Friday,Middle
OR_31008336,CS_11009303,PD_21009579,2024-09-09,12:06:47,5,20,DV_61000292,Chandran Hayer,Female,53,Mysore,Karnataka,2023-11-16,Corporis Milk,Personal Care,Nestle,516.28,2581.4,516.28,2065.12,September,Monday,Senior
OR_31008337,CS_11003492,PD_21003347,2024-07-17,18:34:34,3,10,DV_61000169,Pooja Lall,Male,66,Jorhat,Assam,2025-01-29,Porro Shampoo,Snacks,Parle,788.1,2364.3,236.43,2127.87,July,Wednesday,Senior
OR_31008338,CS_11003041,PD_21001739,2024-12-09,14:13:28,5,20,DV_61000207,Kai Guha,Male,58,Ambala,Haryana,2023-04-19,Adipisci Juice,Beverages,Parle,814.3,4071.5,814.3,3257.2,December,Monday,Senior
OR_31008339,CS_11007299,PD_21001840,2024-04-16,15:37:23,4,15,DV_61000293,Alexander Pai,Male,58,Siliguri,West Bengal,2024-04-15,Corporis Biscuits,Personal Care,Dabur,381.31,1525.24,228.786,1296.454,April,Tuesday,Senior
OR_31008340,CS_11002997,PD_21004198,2024-11-12,12:02:36,9,15,DV_61000249,Laksh Dutta,Female,56,Gurgaon,Haryana,2023-07-24,Cupiditate Juice,Personal Care,Nestle,253.88,2284.92,342.7380000000001,1942.182,November,Tuesday,Senior
OR_31008341,CS_11002438,PD_21003500,2024-03-29,08:03:41,3,0,DV_61000260,Faraj Kant,Female,62,Mysore,Karnataka,2023-12-16,Tempora Biscuits,Beverages,Parle,643.28,1929.84,0.0,1929.84,March,Friday,Senior
OR_31008342,CS_11004120,PD_21008137,2024-07-04,21:29:57,2,0,DV_61000094,Alka Ramanathan,Female,29,Bokaro,Jharkhand,2024-11-25,Modi Biscuits,Beverages,Nestle,515.19,1030.38,0.0,1030.38,July,Thursday,Adult
OR_31008343,CS_11009799,PD_21001347,2025-02-10,16:03:36,7,0,DV_61000157,Yadavi Amble,Male,19,Kochi,Kerala,2023-10-01,Excepturi Juice,Beverages,Nestle,688.82,4821.740000000001,0.0,4821.740000000001,February,Monday,Young
OR_31008344,CS_11006357,PD_21001586,2024-07-15,00:07:50,3,15,DV_61000115,Tanveer Chhabra,Female,69,Bathinda,Punjab,2024-09-19,Explicabo Shampoo,Groceries,Amul,98.58,295.74,44.361,251.379,July,Monday,Senior
OR_31008345,CS_11003899,PD_21003050,2024-04-24,05:50:11,5,20,DV_61000061,Chandani Pathak,Female,26,Bathinda,Punjab,2023-11-20,Minus Soap,Beverages,Nestle,55.49,277.45,55.49,221.96,April,Wednesday,Adult
OR_31008346,CS_11002549,PD_21003997,2024-05-13,15:23:53,3,0,DV_61000010,Rachita Chana,Female,28,Thiruvananthapuram,Kerala,2025-02-23,Id Biscuits,Groceries,Amul,813.32,2439.96,0.0,2439.96,May,Monday,Adult
OR_31008347,CS_11003960,PD_21006437,2024-04-09,08:06:56,3,0,DV_61000164,Idika Hayre,Male,18,Hubli,Karnataka,2023-07-05,Soluta Shampoo,Home Care,Dabur,230.17,690.51,0.0,690.51,April,Tuesday,Teen
OR_31008348,CS_11007371,PD_21001847,2024-10-09,19:15:37,4,10,DV_61000295,Charvi Bava,Male,56,Kochi,Kerala,2023-09-04,Minus Milk,Personal Care,Amul,950.58,3802.32,380.232,3422.088,October,Wednesday,Senior
OR_31008349,CS_11003265,PD_21005041,2024-05-15,08:48:26,6,20,DV_61000270,Hitesh Sura,Male,44,Siliguri,West Bengal,2024-12-22,Voluptatem Juice,Beverages,Haldirams,330.09,1980.54,396.108,1584.432,May,Wednesday,Middle
OR_31008350,CS_11001834,PD_21009091,2024-08-16,23:29:34,3,15,DV_61000292,Charvi Rajan,Male,59,Belgaum,Karnataka,2024-04-20,Sapiente Milk,Snacks,Haldirams,747.35,2242.05,336.3075,1905.7425,August,Friday,Senior
OR_31008351,CS_11003467,PD_21005654,2024-03-24,17:31:48,1,15,DV_61000105,Akshay Guha,Male,45,Patna,Bihar,2024-02-14,Expedita Juice,Personal Care,Haldirams,453.29,453.29,67.9935,385.2965,March,Sunday,Middle
OR_31008352,CS_11002409,PD_21009087,2024-07-05,12:49:38,10,0,DV_61000119,Akshay Deep,Male,64,Dibrugarh,Assam,2024-01-10,Minima Soap,Dairy,Britannia,108.56,1085.6,0.0,1085.6,July,Friday,Senior
OR_31008353,CS_11009290,PD_21000296,2024-12-19,19:15:22,6,0,DV_61000134,Wriddhish Kohli,Female,30,Kochi,Kerala,2024-12-08,Et Juice,Snacks,Nestle,970.0,5820.0,0.0,5820.0,December,Thursday,Adult
OR_31008354,CS_11009863,PD_21006925,2024-06-23,09:30:50,8,10,DV_61000126,Hredhaan Chadha,Female,55,Jabalpur,Madhya Pradesh,2024-09-15,Architecto Shampoo,Beverages,Dabur,284.59,2276.72,227.672,2049.048,June,Sunday,Senior
OR_31008355,CS_11009766,PD_21006946,2024-12-12,12:19:22,6,0,DV_61000059,Chandani Sathe,Male,70,Bhagalpur,Bihar,2025-02-07,Ullam Soap,Personal Care,Amul,816.38,4898.28,0.0,4898.28,December,Thursday,Senior
OR_31008356,CS_11004829,PD_21002913,2024-12-14,02:22:34,1,20,DV_61000144,Vidhi Chawla,Male,38,Varanasi,Uttar Pradesh,2023-07-11,Sint Shampoo,Home Care,Amul,786.09,786.09,157.218,628.8720000000001,December,Saturday,Middle
OR_31008357,CS_11007825,PD_21000424,2024-03-10,00:57:52,6,10,DV_61000087,Upasna Arora,Male,67,Durgapur,West Bengal,2023-12-10,Expedita Shampoo,Beverages,Dabur,133.82,802.92,80.292,722.6279999999999,March,Sunday,Senior
OR_31008358,CS_11001704,PD_21007258,2024-03-13,23:46:33,1,15,DV_61000274,Garima Pant,Male,23,Kota,Rajasthan,2024-05-16,Laboriosam Juice,Home Care,Parle,844.69,844.69,126.7035,717.9865000000001,March,Wednesday,Young
OR_31008359,CS_11004371,PD_21005644,2025-02-19,10:28:05,2,10,DV_61000192,Vrinda Kalita,Female,22,Ranchi,Jharkhand,2023-07-27,Id Shampoo,Dairy,Amul,445.04,890.08,89.00800000000001,801.072,February,Wednesday,Young
OR_31008360,CS_11007238,PD_21000001,2025-03-01,11:37:22,2,20,DV_61000297,Xalak Khurana,Female,29,Chennai,Tamil Nadu,2023-05-28,Tempore Juice,Personal Care,Haldirams,413.5,827.0,165.4,661.6,March,Saturday,Adult
OR_31008361,CS_11006039,PD_21002118,2024-07-18,08:55:24,4,15,DV_61000288,Dev Gopal,Female,44,Vijayawada,Andhra Pradesh,2024-10-23,Sit Juice,Groceries,Haldirams,512.46,2049.84,307.476,1742.364,July,Thursday,Middle
OR_31008362,CS_11004664,PD_21006851,2024-11-12,07:37:26,7,10,DV_61000039,Varenya Sehgal,Female,40,Amritsar,Punjab,2024-06-27,Aliquam Milk,Home Care,Nestle,719.96,5039.72,503.972,4535.748000000001,November,Tuesday,Middle
OR_31008363,CS_11001754,PD_21006176,2024-03-13,14:12:33,8,20,DV_61000190,Ganga Sampath,Female,32,Mysore,Karnataka,2024-02-04,Eos Shampoo,Snacks,Britannia,984.28,7874.24,1574.848,6299.392,March,Wednesday,Adult
OR_31008364,CS_11002351,PD_21004648,2024-10-08,11:10:45,7,20,DV_61000127,Robert Zacharia,Male,27,Ambala,Haryana,2023-10-03,Laboriosam Biscuits,Home Care,Parle,13.78,96.46,19.292,77.16799999999999,October,Tuesday,Adult
OR_31008365,CS_11001971,PD_21008484,2025-03-05,09:20:20,6,10,DV_61000013,Yatan Mohanty,Female,68,Bilaspur,Chhattisgarh,2025-01-07,Voluptates Milk,Groceries,Britannia,836.29,5017.74,501.7739999999999,4515.965999999999,March,Wednesday,Senior
OR_31008366,CS_11000479,PD_21008585,2024-06-25,18:59:41,8,15,DV_61000220,Rushil Barman,Female,62,Gwalior,Madhya Pradesh,2024-10-17,Sint Juice,Dairy,Haldirams,304.27,2434.16,365.124,2069.036,June,Tuesday,Senior
OR_31008367,CS_11004944,PD_21007704,2024-05-08,11:12:14,4,20,DV_61000206,Ayushman Kaul,Male,51,Siliguri,West Bengal,2023-06-01,Atque Shampoo,Groceries,Nestle,109.42,437.68,87.536,350.144,May,Wednesday,Senior
OR_31008368,CS_11007008,PD_21007482,2024-08-24,04:36:49,5,15,DV_61000276,Jairaj Bala,Female,21,Jodhpur,Rajasthan,2024-12-30,Incidunt Juice,Groceries,Parle,812.67,4063.35,609.5025,3453.8475,August,Saturday,Young
OR_31008369,CS_11000008,PD_21005888,2024-04-30,03:33:57,9,0,DV_61000126,Janaki Batra,Female,22,Faridabad,Haryana,2024-09-30,Molestiae Soap,Home Care,Nestle,588.72,5298.48,0.0,5298.48,April,Tuesday,Young
OR_31008370,CS_11005098,PD_21004389,2025-02-22,10:03:50,1,0,DV_61000264,Ganga Buch,Female,47,Nagpur,Maharashtra,2024-09-05,In Juice,Personal Care,Haldirams,712.72,712.72,0.0,712.72,February,Saturday,Middle
OR_31008371,CS_11003032,PD_21009579,2025-01-24,10:41:42,3,0,DV_61000010,Upma Atwal,Male,56,Warangal,Telangana,2023-08-05,Corporis Milk,Personal Care,Nestle,516.28,1548.84,0.0,1548.84,January,Friday,Senior
OR_31008372,CS_11004976,PD_21003662,2024-07-29,14:34:14,9,0,DV_61000091,Urishilla Balasubramanian,Male,57,Ambala,Haryana,2024-12-11,Nisi Soap,Personal Care,Nestle,156.38,1407.42,0.0,1407.42,July,Monday,Senior
OR_31008373,CS_11007774,PD_21001624,2024-07-15,07:57:34,5,20,DV_61000202,Fiyaz Aggarwal,Female,70,Jalandhar,Punjab,2024-07-01,Veniam Juice,Home Care,Nestle,517.96,2589.8,517.96,2071.84,July,Monday,Senior
OR_31008374,CS_11000325,PD_21004385,2024-04-14,09:39:45,9,15,DV_61000059,Vasudha Gera,Male,45,Mangalore,Karnataka,2024-12-15,Voluptatem Soap,Snacks,Britannia,296.25,2666.25,399.9375,2266.3125,April,Sunday,Middle
OR_31008375,CS_11001151,PD_21006668,2024-07-04,05:07:05,10,15,DV_61000090,Wriddhish Natt,Male,32,Warangal,Telangana,2023-12-09,Blanditiis Shampoo,Beverages,Amul,99.74,997.4,149.61,847.79,July,Thursday,Adult
OR_31008376,CS_11009715,PD_21002423,2025-02-18,23:26:59,7,20,DV_61000036,Anmol Chakraborty,Male,19,Nizamabad,Telangana,2024-06-11,Labore Juice,Dairy,Amul,213.42,1493.94,298.788,1195.152,February,Tuesday,Young
OR_31008377,CS_11005540,PD_21001044,2024-12-11,13:36:28,8,10,DV_61000019,Aarnav Barad,Female,45,Durg,Chhattisgarh,2023-04-21,Illo Biscuits,Home Care,Dabur,37.03,296.24,29.624,266.616,December,Wednesday,Middle
OR_31008378,CS_11009783,PD_21006265,2024-04-06,22:39:04,3,15,DV_61000126,Agastya Prabhakar,Female,24,Muzaffarpur,Bihar,2024-09-02,Consectetur Biscuits,Dairy,Haldirams,395.14,1185.42,177.813,1007.607,April,Saturday,Young
OR_31008379,CS_11000967,PD_21003931,2024-05-22,20:43:44,4,0,DV_61000232,Falan Trivedi,Male,69,Kolkata,West Bengal,2024-03-17,Incidunt Juice,Groceries,Dabur,72.73,290.92,0.0,290.92,May,Wednesday,Senior
OR_31008380,CS_11003146,PD_21009630,2024-06-24,16:22:10,7,15,DV_61000139,Tripti Wable,Female,29,Varanasi,Uttar Pradesh,2023-03-17,Atque Milk,Dairy,Britannia,274.37,1920.59,288.0885,1632.5015,June,Monday,Adult
OR_31008381,CS_11004179,PD_21004883,2024-06-08,02:38:38,7,0,DV_61000189,Girindra Balakrishnan,Female,55,Jamshedpur,Jharkhand,2024-09-19,Optio Milk,Dairy,Haldirams,961.66,6731.62,0.0,6731.62,June,Saturday,Senior
OR_31008382,CS_11000230,PD_21006533,2024-06-12,23:35:01,7,20,DV_61000209,Vidhi Din,Male,18,Jaipur,Rajasthan,2023-08-04,Iure Milk,Personal Care,Nestle,732.86,5130.02,1026.004,4104.016000000001,June,Wednesday,Teen
OR_31008383,CS_11008276,PD_21006695,2024-07-09,15:52:15,9,0,DV_61000126,Viraj Bains,Female,53,Hazaribagh,Jharkhand,2024-09-18,Doloremque Milk,Personal Care,Haldirams,97.86,880.74,0.0,880.74,July,Tuesday,Senior
OR_31008384,CS_11005615,PD_21004801,2025-01-21,03:19:26,2,10,DV_61000020,Sudiksha Seth,Female,30,Meerut,Uttar Pradesh,2023-10-25,Doloribus Biscuits,Personal Care,Dabur,159.64,319.28,31.928,287.352,January,Tuesday,Adult
OR_31008385,CS_11006616,PD_21000946,2024-12-01,05:39:37,4,15,DV_61000054,Bachittar Gokhale,Male,52,Durg,Chhattisgarh,2025-02-21,Ipsum Soap,Groceries,Britannia,745.71,2982.84,447.426,2535.414,December,Sunday,Senior
OR_31008386,CS_11001834,PD_21008507,2024-11-21,17:53:10,5,20,DV_61000211,Charvi Rajan,Male,59,Belgaum,Karnataka,2024-04-20,Dolor Milk,Home Care,Britannia,683.34,3416.7,683.34,2733.36,November,Thursday,Senior
OR_31008387,CS_11007909,PD_21003586,2024-09-15,12:59:26,8,20,DV_61000076,Urishilla Pandya,Female,46,Gwalior,Madhya Pradesh,2023-06-12,Esse Juice,Beverages,Parle,410.87,3286.96,657.3919999999999,2629.568,September,Sunday,Middle
OR_31008388,CS_11009706,PD_21007928,2024-09-16,17:30:32,3,10,DV_61000097,Fiyaz Hegde,Male,24,Kota,Rajasthan,2024-11-01,Voluptate Shampoo,Home Care,Dabur,251.57,754.71,75.471,679.239,September,Monday,Young
OR_31008389,CS_11008097,PD_21003704,2024-09-12,19:05:02,9,0,DV_61000293,Tanish Kashyap,Female,18,Durg,Chhattisgarh,2024-07-26,Voluptatum Juice,Groceries,Haldirams,190.01,1710.09,0.0,1710.09,September,Thursday,Teen
OR_31008390,CS_11001371,PD_21004499,2024-06-15,07:01:51,5,0,DV_61000055,Timothy Nagy,Female,28,Rajkot,Gujarat,2024-05-26,Omnis Shampoo,Snacks,Dabur,260.14,1300.7,0.0,1300.7,June,Saturday,Adult
OR_31008391,CS_11009016,PD_21001858,2024-09-17,13:05:10,9,15,DV_61000192,Inaya Swaminathan,Female,42,Mangalore,Karnataka,2023-08-03,Repellat Soap,Home Care,Dabur,594.72,5352.48,802.8720000000001,4549.608,September,Tuesday,Middle
OR_31008392,CS_11006856,PD_21005703,2024-03-09,15:27:02,2,10,DV_61000045,Frado Balakrishnan,Female,58,Nashik,Maharashtra,2024-01-10,Est Shampoo,Beverages,Haldirams,282.31,564.62,56.462,508.158,March,Saturday,Senior
OR_31008393,CS_11000153,PD_21004414,2025-02-15,17:17:37,5,10,DV_61000137,Zinal Cherian,Male,44,Surat,Gujarat,2023-03-22,Modi Juice,Personal Care,Nestle,447.45,2237.25,223.725,2013.525,February,Saturday,Middle
